Dataset,Model,Accuracy,Precision,Recall,F1-score
dataset1.csv,Logistic Regression,0.7992424242424242,0.7972345420841377,0.7992424242424242,0.7972582916786769
dataset1.csv,Decision Tree,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9772727272727273
dataset1.csv,Random Forest,0.9810606060606061,0.9810541389504804,0.9810606060606061,0.9810424524583091
dataset2.csv,Logistic Regression,0.775609756097561,0.7860197881327902,0.775609756097561,0.7747430953233811
dataset2.csv,Decision Tree,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219
dataset2.csv,Random Forest,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219
dataset3.csv,Logistic Regression,0.8,0.8296296296296295,0.8,0.7875
dataset3.csv,Decision Tree,0.6333333333333333,0.6253744116388533,0.6333333333333333,0.6228070175438596
dataset3.csv,Random Forest,0.75,0.7756211180124223,0.75,0.731718898385565
